psychological_concept,n,percent
depression,22,23.2
stress,19,20.0
anxiety,16,16.8
coping,8,8.4
catastrophizing,4,4.2
fear-avoidance,4,4.2
self-efficacy,3,3.2
resilience,2,2.1
acceptance,2,2.1
emotions,2,2.1
psychosocial comorbidities,1,1.1
substance use,1,1.1
suicide,1,1.1
psychological impact,1,1.1
pain experience,1,1.1
cognitive-behavioral therapy,1,1.1
pain-related thoughts,1,1.1
psychosocial factors,1,1.1
maladaptive beliefs,1,1.1
illness perception,1,1.1
suffering,1,1.1
cognitions,1,1.1
functioning,1,1.1
