node_type,label,record_id,year,review_type,dominant_domain,dominant_loading,tsne_x,tsne_y,pca_x,pca_y,parent_domain
record,pubmed_10908542,pubmed_10908542,2000.0,systematic review,biological,0.3359000086784363,-3.2147725,6.4498515,14.261013,-17.99601,biological
record,pubmed_19160209,pubmed_19160209,2009.0,systematic review,biological,0.33640000224113464,-3.225357,6.4684124,14.500712,-18.030844,biological
record,pubmed_40170347,pubmed_40170347,2025.0,scoping or mapping review,psychological,0.3483999967575073,-5.0917177,5.346848,9.995683,0.1756777,psychological
record,pubmed_28371175,pubmed_28371175,2017.0,narrative or expert review,biological,0.34769999980926514,-1.7597907,3.671423,9.7852745,-2.7696915,biological
record,pubmed_35434749,pubmed_35434749,2022.0,narrative or expert review,biological,0.3578000068664551,-7.083996,1.054913,7.61665,13.5795765,biological
record,pubmed_7866373,pubmed_7866373,1994.0,narrative or expert review,psychological,0.33730000257492065,-2.14725,9.212067,5.9667196,-2.4102957,psychological
record,pubmed_21373784,pubmed_21373784,2011.0,narrative or expert review,social,0.3384000062942505,0.7057558,4.2005816,1.9131836,-12.095981,social
record,pubmed_38063895,pubmed_38063895,2024.0,narrative or expert review,biological,0.3458000123500824,-6.2647834,-2.4348931,7.4970393,5.3474274,biological
record,pubmed_29460009,pubmed_29460009,2018.0,systematic review,biological,0.34279999136924744,-4.2837768,10.491554,17.108597,-8.885665,biological
record,pubmed_20425201,pubmed_20425201,2010.0,narrative or expert review,biological,0.3537999987602234,-7.740106,-0.43994847,4.950053,17.009274,biological
record,pubmed_22102156,pubmed_22102156,2012.0,narrative or expert review,biological,0.34850001335144043,3.0428588,2.152307,0.09586209,-0.70214385,biological
record,pubmed_36527589,pubmed_36527589,2023.0,narrative or expert review,psychological,0.33820000290870667,-4.641394,3.1395576,6.623216,3.03197,psychological
record,pubmed_28752491,pubmed_28752491,2017.0,systematic review,psychological,0.3499999940395355,-6.885845,3.5660403,6.514054,1.2392018,psychological
record,pubmed_33563380,pubmed_33563380,2021.0,narrative or expert review,biological,0.35989999771118164,-8.104819,-1.5113639,8.976842,11.7097845,biological
record,pubmed_17350550,pubmed_17350550,2007.0,narrative or expert review,biological,0.3495999872684479,-2.1494381,2.4347327,8.85734,2.9749641,biological
record,pubmed_23218435,pubmed_23218435,2012.0,narrative or expert review,social,0.35019999742507935,0.2918523,5.326815,12.511347,-16.624346,social
record,pubmed_26096090,pubmed_26096090,2014.0,narrative or expert review,psychological,0.349700003862381,-1.6569291,1.1603059,2.704253,9.934078,psychological
record,pubmed_41271285,pubmed_41271285,2026.0,narrative or expert review,psychological,0.3474000096321106,-4.2073584,-1.365195,6.516678,7.0193634,psychological
record,pubmed_30594766,pubmed_30594766,2019.0,narrative or expert review,biological,0.34950000047683716,-3.2384977,8.765857,11.840918,-0.47161764,biological
record,pubmed_29729787,pubmed_29729787,2018.0,narrative or expert review,biological,0.34279999136924744,0.5687956,1.3690239,1.9855169,4.76681,biological
