record_id,year,review_type,bio_psych,bio_social,psych_social,triadic_product
pubmed_10908542,2000.0,systematic review,0.1104,0.1127,0.1102,0.037
pubmed_19160209,2009.0,systematic review,0.1107,0.1125,0.1101,0.037
pubmed_40170347,2025.0,scoping or mapping review,0.114,0.1061,0.113,0.037
pubmed_28371175,2017.0,narrative or expert review,0.1171,0.1097,0.1063,0.0369
pubmed_35434749,2022.0,narrative or expert review,0.119,0.1107,0.103,0.0368
pubmed_7866373,1994.0,narrative or expert review,0.1109,0.1098,0.1126,0.037
pubmed_21373784,2011.0,narrative or expert review,0.1095,0.1122,0.1117,0.037
pubmed_38063895,2024.0,narrative or expert review,0.1169,0.1093,0.1069,0.037
pubmed_29460009,2018.0,systematic review,0.1102,0.1151,0.108,0.037
pubmed_20425201,2010.0,narrative or expert review,0.122,0.1066,0.1039,0.0368
pubmed_22102156,2012.0,narrative or expert review,0.1196,0.1074,0.1058,0.0369
pubmed_36527589,2023.0,narrative or expert review,0.1133,0.1095,0.1105,0.037
pubmed_28752491,2017.0,systematic review,0.1162,0.1056,0.1113,0.037
pubmed_33563380,2021.0,narrative or expert review,0.1181,0.1123,0.1024,0.0368
pubmed_17350550,2007.0,narrative or expert review,0.1189,0.1085,0.1055,0.0369
pubmed_23218435,2012.0,narrative or expert review,0.1055,0.1161,0.1115,0.037
pubmed_26096090,2014.0,narrative or expert review,0.1195,0.1054,0.1079,0.0369
pubmed_41271285,2026.0,narrative or expert review,0.115,0.1064,0.1117,0.037
pubmed_30594766,2019.0,narrative or expert review,0.117,0.1103,0.1057,0.0369
pubmed_29729787,2018.0,narrative or expert review,0.1137,0.1116,0.108,0.037
WOS:000453643300005,,scoping or mapping review,0.1095,0.1119,0.1118,0.037
pubmed_27344405,2016.0,narrative or expert review,0.1191,0.1063,0.1076,0.0369
pubmed_26614718,2016.0,narrative or expert review,0.1166,0.107,0.1096,0.037
pubmed_26614715,2016.0,narrative or expert review,0.1208,0.1062,0.1056,0.0368
pubmed_19289225,2009.0,systematic review,0.1221,0.1055,0.105,0.0368
pubmed_40675665,2025.0,systematic review,0.1221,0.1113,0.0987,0.0366
pubmed_27325001,2016.0,systematic review,0.1204,0.1041,0.1082,0.0368
pubmed_27246519,2016.0,systematic review,0.118,0.1075,0.1076,0.0369
pubmed_24602442,2014.0,systematic review,0.1151,0.1075,0.1106,0.037
pubmed_28947182,2018.0,systematic review,0.1174,0.1073,0.1083,0.0369
pubmed_22814445,2012.0,systematic review,0.1197,0.1095,0.1036,0.0368
