field,field_label,group,n_categories,mean_pairwise_agreement,adjacent_agreement,unanimous_rate,fleiss_kappa,krippendorff_alpha,landis_koch
domain_coverage_bio,Biological coverage,coverage,4,0.6382978723404256,0.950354609929078,0.5319148936170213,0.3117343032159264,0.31661562021439515,Fair
domain_coverage_psych,Psychological coverage,coverage,4,0.7801418439716312,0.9787234042553191,0.6808510638297872,0.5510476581758424,0.5542317173377157,Moderate
domain_coverage_social,Social coverage,coverage,4,0.48226950354609927,0.8368794326241135,0.3191489361702128,0.2725795053003532,0.27773851590106,Fair
integration_bio_psych,Bio-psych integration,integration,5,0.3191489361702127,0.7163120567375887,0.1276595744680851,0.039455009934714735,0.0462673857507806,Slight
integration_psych_social,Psych-social integration,integration,5,0.2624113475177305,0.6453900709219859,0.06382978723404255,0.062284179562603924,0.06893464637421665,Slight
integration_bio_social,Bio-social integration,integration,5,0.29078014184397166,0.524822695035461,0.0425531914893617,-0.0061367204224346585,0.0009990009990009652,Poor
integration_triadic,Triadic integration,integration,4,0.34042553191489366,0.8156028368794326,0.06382978723404255,0.07105412298101459,0.07764239161235476,Slight
review_track,Review track,nominal,4,0.524822695035461,,0.2978723404255319,0.11561505336079363,0.1218872870249017,Slight
source_type,Source type,nominal,7,0.8936170212765958,,0.851063829787234,0.8329911560328489,0.8341756159191409,Almost perfect
overall_balance,Overall balance,nominal,6,0.5106382978723404,,0.3617021276595745,0.3724845201238389,0.37693498452012386,Fair
bps_typology,BPS typology,nominal,4,0.3191489361702127,,0.1276595744680851,0.00044306601683657515,0.007532122286220688,Slight
concept_definitions_present,Concept definitions,nominal,3,0.6737588652482268,1.0,0.5106382978723404,0.32083769633507836,0.3256544502617801,Fair
fulltext_eligibility,Full-text eligibility,nominal,3,0.8510638297872339,,0.8085106382978723,0.06297468354430426,0.069620253164557,Slight
synthesis_priority,Synthesis priority,nominal,4,0.5319148936170213,,0.3617021276595745,0.02656903765690367,0.03347280334728031,Slight
present_integration_evidence,Integration evidence present,presence,2,0.8581560283687942,,0.7872340425531915,0.013986013986015065,0.020979020979020935,Slight
present_triadic_claim,Triadic claim present,presence,2,0.6453900709219859,,0.46808510638297873,0.22527472527472484,0.23076923076923073,Fair
present_psychological_concepts,Psychological concepts present,presence,2,0.9716312056737589,,0.9574468085106383,-0.014388489208632579,-0.007194244604316502,Poor
present_defined_concepts,Defined concepts present,presence,2,0.7021276595744682,,0.5531914893617021,0.3879702356345599,0.39231087226126493,Fair
present_theoretical_frameworks,Frameworks present,presence,2,0.9290780141843973,,0.8936170212765957,0.33740601503759265,0.3421052631578947,Fair
present_conceptual_problems,Conceptual problems present,presence,2,0.9858156028368793,,0.9787234042553191,-0.007142857142852976,0.0,Poor
present_domain_evidence_bio,Biological evidence present,presence,2,0.9290780141843972,,0.8936170212765957,-0.03676470588235244,-0.02941176470588225,Poor
present_domain_evidence_psych,Psychological evidence present,presence,2,0.9716312056737589,,0.9574468085106383,-0.014388489208632579,-0.007194244604316502,Poor
present_domain_evidence_social,Social evidence present,presence,2,0.7446808510638298,,0.6170212765957447,0.1754385964912289,0.18128654970760238,Slight
