bps_typology,derived_typology,n_codings
multifactorial,multifactorial,35
pseudo_bps,multifactorial,25
pseudo_bps,pseudo_bps,22
multifactorial,true_integrative,15
true_integrative,true_integrative,14
multifactorial,pseudo_bps,11
pseudo_bps,true_integrative,5
narrow_despite_label,narrow_despite_label,3
narrow_despite_label,pseudo_bps,3
narrow_despite_label,multifactorial,2
true_integrative,multifactorial,2
pseudo_bps,rhetorical_bps,1
rhetorical_bps,narrow_despite_label,1
rhetorical_bps,pseudo_bps,1
rhetorical_bps,rhetorical_bps,1
