record_id,database,pmid,pmcid,doi,title,abstract,year,journal,authors,country_contact_author,publication_types,review_type,objective_text,objective_category,objective_category_source,icd11_pain_category,musculoskeletal_flag,bps_mention_location,bps_function,bio_mentioned,psych_mentioned,social_mentioned,quality_assessment_reported,psychological_concepts_detected,theoretical_frameworks_detected,conceptual_problem_flags,provisional_typology,stage3_candidate,stage3_priority,coding_rationale,coding_method,llm_model,screening_status,screening_reason
pubmed_10908542,PubMed,10908542.0,,10.1002/14651858.CD002269,Biopsychosocial rehabilitation for upper limb repetitive strain injuries in working age adults.,"BACKGROUND: Upper limb repetitive strain injury is a common problem in western countries, causing human suffering and huge economical losses. Patients with prolonged pain associated with repetitive tasks in the work place can face both psychological and physical difficulties. Different treatment programmes, physical, psychological, behavioural, social and occupational treatments have been developed and used to help these patients.
OBJECTIVES: The objective of this systematic review is to determine the effectiveness of biopsychosocial rehabilitation for upper limb repetitive strain injuries among working age adults.
SEARCH STRATEGY: The reviewed studies for this structured Cochrane review were identified from electronic bibliographic databases, the Science Citation Index, reference checking and consulting experts in the rehabilitation field. The original search was planned and performed for a more broad area of musculoskeletal disorders. Trials on repetitive strain injuries were separated afterwards.
SELECTION CRITERIA: Randomised controlled trials and controlled trials comparing biopsychosocial measures for the treatment of repetitive upper limb strain injury in working age adults
DATA COLLECTION AND ANALYSIS: Two experts in the field of rehabilitation evaluated the clinical relevance and applicability of the findings of the selected studies to actual clinical use. Two other blinded reviewers extracted the data and assessed the main results and the methodological quality of the studies using standardized forms. Finally, a qualitative analysis was performed to evaluate the level of scientific evidence for the effectiveness of biopsychosocial rehabilitation.
MAIN RESULTS: We found only two relevant studies that satisfied our criteria. They assessed the effectiveness of two specific interventions and were both considered as low quality trials. The clinical relevance of the included studies was also unsatisfactory. The level of scientific evidence for the effectiveness of biopsychosocial rehabilitation for repetitive strain injuries was limited. One small trial found that hypnosis supplementary to comprehensive treatment can decrease the intensity of pain for acute RSI in six weeks follow-up.
REVIEWER'S CONCLUSIONS: We conclude that presently there appears to be little scientific evidence for the effectiveness of biopsychosocial rehabilitation on repetitive strain injuries. As RCTs on more intensive and comprehensive biopsychosocial treatment programmes for RSI are lacking, there does not seem to be reliable data for these interventions. There is a need for high quality trials in this field.",2000.0,The Cochrane database of systematic reviews,K Karjalainen | A Malmivaara | M van Tulder | R Roine | M Jauhiainen | H Hurri | B Koes,Finland,Journal Article | Systematic Review,systematic review,OBJECTIVES: The objective of this systematic review is to determine the effectiveness of biopsychosocial rehabilitation for upper limb repetitive strain injuries among working age adults.,clinical,llm_structured,chronic secondary musculoskeletal pain,yes,title and abstract,intervention rationale,yes,yes,yes,no,,,parallel_listing_without_integration | mechanistic_absence,multifactorial signal,yes,high,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview,include,
pubmed_19160209,PubMed,19160209.0,PMC10734264,10.1002/14651858.CD002269.pub2,WITHDRAWN: Biopsychosocial rehabilitation for upper limb repetitive strain injuries in working age adults.,"BACKGROUND: Upper limb repetitive strain injury is a common problem in western countries, causing human suffering and huge economical losses. Patients with prolonged pain associated with repetitive tasks in the work place can face both psychological and physical difficulties. Different treatment programmes, physical, psychological, behavioural , social and occupational treatments have been developed and used to help these patients.
OBJECTIVES: The objective of this systematic review is to determine the effectiveness of biopsychosocial rehabilitation for upper limb repetitive strain injuries among working age adults.
SEARCH STRATEGY: The reviewed studies for this structured Cochrane review were identified from electronic bibliographic databases, the Science Citation Index, reference checking and consulting experts in the rehabilitation field. The original search was planned and performed for a more broad area of musculoskeletal disorders. Trials on repetitive strain injuries were separated afterwards.
SELECTION CRITERIA: Randomised controlled trials and controlled trials comparing biopsychosocial measures for the treatment of repetitive upper limb strain injury in working age adults
DATA COLLECTION AND ANALYSIS: Two experts in the field of rehabilitation evaluated the clinical relevance and applicability of the findings of the selected studies to actual clinical use. Two other blinded reviewers extracted the data and assessed the main results and the methodological quality of the studies using standardized forms. Finally, a qualitative analysis was performed to evaluate the level of scientific evidence for the effectiveness of biopsychosocial rehabilitation.
MAIN RESULTS: We found only two relevant studies that satisfied our criteria. They assessed the effectiveness of two specific interventions and were both considered as low quality trials. The clinical relevance of the included studies was also unsatisfactory. The level of scientific evidence for the effectiveness of biopsychosocial rehabilitation for repetitive strain injuries was limited. One small trial found that hypnosis supplementary to comprehensive treatment can decrease the intensity of pain for acute RSI in six weeks follow-up.
AUTHORS' CONCLUSIONS: We conclude that presently there appears to be little scientific evidence for the effectiveness of biopsychosocial rehabilitation on repetitive strain injuries. As RCTs on more intensive and comprehensive biopsychosocial treatment programmes for RSI are lacking, there does not seem to be reliable data for these interventions. There is a need for high quality trials in this field.",2009.0,The Cochrane database of systematic reviews,Kaija A Karjalainen | Antti Malmivaara | Maurits W van Tulder | Risto Roine | Merja Jauhiainen | Heikki Hurri | Bart W Koes,Finland,Journal Article | Systematic Review,systematic review,OBJECTIVES: The objective of this systematic review is to determine the effectiveness of biopsychosocial rehabilitation for upper limb repetitive strain injuries among working age adults.,clinical,llm_structured,chronic secondary musculoskeletal pain,yes,title and abstract,intervention rationale,yes,yes,yes,no,,,parallel_listing_without_integration | mechanistic_absence,multifactorial signal,yes,high,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview,include,
pubmed_40170347,PubMed,40170347.0,PMC11962237,10.1002/ejp.70016,Conversational Agents to Support Pain Management: A Scoping Review.,"BACKGROUND: Pain-related conditions are the leading cause of years lived with disability globally. Managing pain presents significant challenges, including the need to address multiple biopsychosocial factors and the difficulty in delivering evidence-based treatments. Digital health technologies, such as conversational agents, offer the potential for personalised and accessible pain management. However, the characteristics and effectiveness of these interventions are not yet fully understood. This scoping review aims to comprehensively evaluate the applications and effectiveness of conversational agents in supporting pain management in adults (i.e., healthy individuals at risk of developing pain, individuals currently experiencing pain and healthcare providers or students involved in managing pain conditions).
METHODS: Searches were systematically conducted across six databases-MEDLINE PubMed, ACM Digital Library, CINAHL, Embase, PsycINFO, Cochrane CENTRAL-and five trial registries from inception.
RESULTS: Twenty-eight studies were included, focusing on capturing health information (n = 8), providing emotional support (n = 7), facilitating adherence to self-management exercises (n = 6), delivering psychological treatment (n = 5), offering organisational support (n = 1) and educating healthcare providers (n = 1). These studies addressed conditions with pain as a central or common symptom, including dementia (n = 7), cancer (n = 5) and musculoskeletal disorders (n = 4), among others. None of the conversational agents on the market covered all four stages recommended for translational research (development, feasibility, effectiveness and implementation).
CONCLUSION: The use of conversational agents in pain management is relatively new and involves diverse and promising appllications. However, evidence supporting their effectiveness in improving pain-related outcomes remains limited and heterogeneous. Future reseacrh should prioritise feasibility, reliability, and user experience studies to inform the design of robust randomised controlled trials.
SIGNIFICANCE: This scoping review comprehensively examines the use of conversational agents (CAs) in adult pain management. The study identified six applications of CAs to support pain management and highlights a lack of high-quality randomised controlled trials, particularly those preceded by development and feasibility studies. Clinicians and researchers can use these insights to guide future studies and improve applications of CAs in pain management.",2025.0,"European journal of pain (London, England)",Filipe L Souza | Hannah Bowman | Francis Yang | Negin Hesam-Shariati | Jackson Linke | Yannick L Gilanyi | Matthew D Jones | Rafael Z-Pinto | James H McAuley | Rodrigo R N Rizzo,Brazil,Journal Article | Scoping Review,scoping or mapping review,"aims to comprehensively evaluate the applications and effectiveness of conversational agents in supporting pain management in adults (i.e., healthy individuals at risk of developing pain, individuals currently experiencing pain and healthcare providers or students involved in managing pain conditions).",clinical,llm_structured,mixed or unspecified chronic pain,yes,abstract only,background framing,yes,yes,yes,no,coping,,tokenistic_bps | parallel_listing_without_integration | mechanistic_absence,pseudo-bps or partial signal,yes,high,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview,include,
pubmed_28371175,PubMed,28371175.0,,10.1002/msc.1191,Exercise for chronic musculoskeletal pain: A biopsychosocial approach.,"Chronic musculoskeletal pain (CMP) refers to ongoing pain felt in the bones, joints and tissues of the body that persists longer than 3 months. For these conditions, it is widely accepted that secondary pathologies or the consequences of persistent pain, including fear of movement, pain catastrophizing, anxiety and nervous system sensitization appear to be the main contributors to pain and disability. While exercise is a primary treatment modality for CMP, the intent is often to improve physical function with less attention to secondary pathologies. Exercise interventions for CMP which address secondary pathologies align with contemporary pain rehabilitation practices and have greater potential to improve patient outcomes above exercise alone. Biopsychosocial treatment which acknowledges and addresses the biological, psychological and social contributions to pain and disability is currently seen as the most efficacious approach to chronic pain. This clinical update discusses key aspects of a biopsychosocial approach concerning exercise prescription for CMP and considers both patient needs and clinician competencies. There is consensus for individualized, supervised exercise based on patient presentation, goals and preference that is perceived as safe and non-threatening to avoid fostering unhelpful associations between physical activity and pain. The weight of evidence supporting exercise for CMP has been provided by aerobic and resistance exercise studies, although there is considerable uncertainty on how to best apply the findings to exercise prescription. In this clinical update, we also provide evidence-based guidance on exercise prescription for CMP through a synthesis of published work within the field of exercise and CMP rehabilitation.",2017.0,Musculoskeletal care,John Booth | G Lorimer Moseley | Marcus Schiltenwolf | Aidan Cashin | Michael Davies | Markus Hübscher,Australia,Journal Article | Review,narrative or expert review,"Chronic musculoskeletal pain (CMP) refers to ongoing pain felt in the bones, joints and tissues of the body that persists longer than 3 months.",clinical,llm_structured,chronic secondary musculoskeletal pain,yes,title and abstract,intervention rationale,yes,yes,yes,no,catastrophizing | anxiety,,none,potential integrative signal,yes,high,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview,include,
pubmed_35434749,PubMed,35434749.0,,10.1007/164_2022_587,Toll-Like Receptor 4 in Pain: Bridging Molecules-to-Cells-to-Systems.,"Pain impacts the lives of billions of people around the world - both directly and indirectly. It is complex and transcends beyond an unpleasant sensory experience to encompass emotional experiences. To date, there are no successful treatments for sufferers of chronic pain. Although opioids do not provide any benefit to chronic pain sufferers, they are still prescribed, often resulting in more complications such as hyperalgesia and dependence. In order to develop effective and safe medications to manage, and perhaps even treat pain, it is important to evaluate novel contributors to pain pathologies. As such, in this chapter we review the role of Toll-like receptor 4, a receptor of the innate immune system, that continues to gain substantial attention in the field of pain research. Positioned in the nexus of the neuro and immune systems, TLR4 may provide one of the missing pieces in understanding the complexities of pain. Here we consider how TLR4 enables a mechanistical understanding of pain as a multidimensional biopsychosocial state from molecules to cells to systems and back again.",2022.0,Handbook of experimental pharmacology,Sanam Mustafa | Samuel Evans | Benjamin Barry | Daniel Barratt | Yibo Wang | Cong Lin | Xiaohui Wang | Mark R Hutchinson,Australia,Journal Article | Review,narrative or expert review,Pain impacts the lives of billions of people around the world - both directly and indirectly.,conceptual,llm_structured,mixed or unspecified chronic pain,unclear,abstract only,explanatory framework,yes,yes,yes,no,,,tokenistic_bps | vague_definition,rhetorical label signal,yes,medium,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview,include,
pubmed_7866373,PubMed,7866373.0,,10.1007/BF00433377,Pain and suffering: what is the unit?,"Nonspecific low back pain presents several problems to health care providers. Although the number of patients who are registered as disabled due to low back pain has dramatically increased in recent years, its incidence and severity remain fairly constant. The relationship between perceived backache and subsequent disability is not linear, and other factors may influence a patient's decision to seek help. These factors include the patient's psychological and emotional state, especially his or her past experiences, extant mood and anxiety about anticipated consequences. Physicians should not rely on a simple 'disease model' when treating low back pain but should try to identify the biopsychosocial factors involved and should understand that pain and suffering are not always synonymous.",1994.0,"Quality of life research : an international journal of quality of life aspects of treatment, care and rehabilitation",W E Fordyce,,Journal Article | Review,narrative or expert review,Nonspecific low back pain presents several problems to health care providers.,clinical,llm_structured,chronic secondary musculoskeletal pain,yes,abstract only,explanatory framework,no,yes,yes,no,anxiety,,missing_biology,multifactorial signal,yes,high,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview,include,
pubmed_21373784,PubMed,21373784.0,,10.1007/s00296-011-1839-5,Joint hypermobility syndrome: problems that require psychological intervention.,"Joint hypermobility syndrome (JHS), also known as Ehlers-Danlos III, is an inherited disorder of connective tissue, characterised by an exceptional increase in the joint's mobility and the presence of musculoskeletal and other symptoms. It is a benign syndrome if compared with the other types of Ehlers-Danlos, but it can become disabling particularly because it is a significant source of pain and distress. The purpose of this work is to describe some common problems in JHS that render psychological intervention in their overall management relevant. Chronic pain, associated psychopathological factors such as anxiety, depression and somatosensory amplification, and problems arising from a lack of recognition and knowledge of the syndrome, are frequent among those affected, having a negative impact on their quality of life. We emphasise the relevance of addressing JHS from a biopsychosocial approach.",2011.0,Rheumatology international,C Baeza-Velasco | M C Gély-Nargeot | A Bulbena Vilarrasa | J F Bravo,Spain,Journal Article | Review,narrative or expert review,"Joint hypermobility syndrome (JHS), also known as Ehlers-Danlos III, is an inherited disorder of connective tissue, characterised by an exceptional increase in the joint's mobility and the presence of musculoskeletal and other symptoms.",clinical,llm_structured,chronic secondary musculoskeletal pain,yes,abstract only,intervention rationale,yes,yes,yes,no,depression | anxiety | stress,,parallel_listing_without_integration | mechanistic_absence,multifactorial signal,yes,high,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview,include,
pubmed_38063895,PubMed,38063895.0,PMC11579083,10.1007/s00406-023-01721-8,A clinical approach to the investigation and management of long COVID associated neuropathic pain.,"COVID-19 has been associated with a wide range of ongoing symptoms following recovery from the acute SARS-CoV-2 infection. Around one in three people with COVID-19 develop neurological symptoms with many reporting neuropathic pain and associated symptoms, including paraesthesia, numbness, and dysesthesia. Whilst the pathophysiology of long COVID-19-associated neuropathic pain remains unclear, it is likely to be multifactorial. Early identification, exclusion of common alternative causes, and a biopsychosocial approach to the management of the symptoms can help in relieving the burden of disease and improving the quality of life for patients.",2024.0,European archives of psychiatry and clinical neuroscience,Rajish Sanjit Kumar Shil | Thomas William Hughes | Brendan Francis Sargent | Yun Huang | Arina Anna Tamborska | Bernhard Frank | Mark Alexander Ellul | Benedict Daniel Michael,,Journal Article | Review,narrative or expert review,COVID-19 has been associated with a wide range of ongoing symptoms following recovery from the acute SARS-CoV-2 infection.,clinical,llm_structured,chronic neuropathic pain,no,abstract only,intervention rationale,yes,no,yes,no,,,tokenistic_bps | parallel_listing_without_integration | mechanistic_absence,pseudo-bps or partial signal,no,low,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview,include,
pubmed_29460009,PubMed,29460009.0,,10.1007/s00586-017-5433-8,The Global Spine Care Initiative: applying evidence-based guidelines on the non-invasive management of back and neck pain to low- and middle-income communities.,"PURPOSE: The purpose of this review was to develop recommendations for the management of spinal disorders in low-income communities, with a focus on non-invasive pharmacological and non-pharmacological therapies for non-specific low back and neck pain.
METHODS: We synthesized two evidence-based clinical practice guidelines for the management of low back and neck pain. Our recommendations considered benefits, harms, quality of evidence, and costs, with attention to feasibility in medically underserved areas and low- and middle-income countries.
RESULTS: Clinicians should provide education and reassurance, advise patients to remain active, and provide information about self-care options. For acute low back and neck pain without serious pathology, primary conservative treatment options are exercise, manual therapy, superficial heat, and nonsteroidal anti-inflammatory drugs (NSAIDs). For patients with chronic low back and neck pain without serious pathology, primary treatment options are exercise, yoga, cognitive behavioral therapies, acupuncture, biofeedback, progressive relaxation, massage, manual therapy, interdisciplinary rehabilitation, NSAIDs, acetaminophen, and antidepressants. For patients with spinal pain with radiculopathy, clinicians may consider exercise, spinal manipulation, or NSAIDs; use of other interventions requires extrapolation from evidence regarding effectiveness for non-radicular spinal pain. Clinicians should not offer treatments that are not effective, including benzodiazepines, botulinum toxin injection, systemic corticosteroids, cervical collar, electrical muscle stimulation, short-wave diathermy, transcutaneous electrical nerve stimulation, and traction.
CONCLUSION: Guidelines developed for high-income settings were adapted to inform a care pathway and model of care for medically underserved areas and low- and middle-income countries by considering factors such as costs and feasibility, in addition to benefits, harms, and the quality of underlying evidence. The selection of recommended conservative treatments must be finalized through discussion with the involved community and based on a biopsychosocial approach. Decision determinants for selecting recommended treatments include costs, availability of interventions, and cultural and patient preferences. These slides can be retrieved under Electronic Supplementary Material.",2018.0,"European spine journal : official publication of the European Spine Society, the European Spinal Deformity Society, and the European Section of the Cervical Spine Research Society",Roger Chou | Pierre Côté | Kristi Randhawa | Paola Torres | Hainan Yu | Margareta Nordin | Eric L Hurwitz | Scott Haldeman | Christine Cedraschi,,"Journal Article | Research Support, Non-U.S. Gov't | Review",systematic review,"PURPOSE: The purpose of this review was to develop recommendations for the management of spinal disorders in low-income communities, with a focus on non-invasive pharmacological and non-pharmacological therapies for non-specific low back and neck pain.",clinical,llm_structured,chronic secondary musculoskeletal pain,yes,abstract only,intervention rationale,yes,yes,yes,yes,depression,,none,potential integrative signal,yes,high,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview,include,
pubmed_20425201,PubMed,20425201.0,,10.1007/s11916-010-0103-0,"Unravelling the mystery of pain, suffering, and relief with brain imaging.","In humans, the experience of pain and suffering is conveyed specifically by language. Noninvasive neuroimaging techniques now provide an account of neural activity in the human brain when pain is experienced. Knowledge gleaned from neuroimaging experiments has shaped contemporaneous accounts of pain. Within the biopsychosocial framework, nociception is undoubtedly required for survival, but is neither necessary nor sufficient for the consciousness of pain in humans. Pain emerges from the brain, which also exerts a top-down influence on nociception. In the brains of patients with chronic pain, neuroimaging has revealed subtle but significant structural, functional, and neurochemical abnormalities. Converging evidence suggests that the chronic pain state may arise from dysfunction of the frontal-limbic system. Further research in the clinical pain population will continue to identify neural mechanisms that contribute to the experience and consequence of pain, which may then be targeted therapeutically.",2010.0,Current pain and headache reports,Michael C Lee | Irene Tracey,,Journal Article | Review,narrative or expert review,"In humans, the experience of pain and suffering is conveyed specifically by language.",conceptual,llm_structured,mixed or unspecified chronic pain,unclear,abstract only,explanatory framework,yes,no,yes,no,,,missing_social,pseudo-bps or partial signal,yes,medium,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview,include,
