record_id,year,review_type,Central Sensitization and Neuroplasticity,Musculoskeletal and Structural Pathology,Pharmacological and Biomedical Treatment,Sleep Disruption and Circadian Dysregulation,Immune Inflammatory and Neuroinflammatory Processes,Genetic Epigenetic and Biological Vulnerability,Neuroimaging Brain Structure and Function,Nociceptive Transmission and Pain Pathways,Physical Function Mobility and Deconditioning,Metabolic Nutritional and Hormonal Factors,Catastrophizing and Negative Cognitive Appraisal,Fear Avoidance and Pain Related Fear,Depression Emotional Distress and Affect,Anxiety and Psychological Reactivity,Self Efficacy Control Beliefs and Perceived Mastery,Acceptance Psychological Flexibility and Mindfulness,Pain Coping Strategies and Adjustment,Attention Vigilance and Pain Processing,Illness Beliefs Pain Representations and Meaning,Cognitive Behavioral and Psychotherapeutic Approaches,Third Wave Therapies ACT and Contextual Approaches,Resilience Positive Psychology and Post Traumatic Growth,Identity Self Concept and Chronic Pain Biography,Trauma Adverse Childhood and Life Events,Personality Psychological Traits and Individual Differences,Cognitive Function Executive Processes and Brain Health,Motivational Processes Goal Pursuit and Engagement,Healthcare Seeking Treatment Adherence and Engagement,Emotional Regulation and Pain Affect Processing,Mental Health Comorbidity and Psychological Wellbeing,Social Support Network and Interpersonal Resources,Work Disability Occupational Function and Productivity,Family Caregiver and Household Dynamics,Socioeconomic Status and Health Inequity,Healthcare Access Navigation and System Factors,Cultural Ethnic and Demographic Context,Community Participation and Social Role Functioning,Legal Compensation and Medicolegal Systems,Health Literacy Education and Patient Empowerment,Stigma Social Isolation and Exclusion,Return to Work Vocational Rehabilitation and Employment,Social Determinants of Pain and Environment
pubmed_10908542,2000.0,systematic review,0.03428173,0.035740748,0.03540566,0.031986926,0.032895975,0.032656394,0.033249684,0.03088006,0.034986217,0.03381663,0.015910005,0.015439554,0.015859049,0.016151058,0.01619086,0.016396962,0.016777925,0.016329907,0.016106984,0.017266905,0.017107647,0.017000021,0.016006755,0.016295949,0.016202306,0.016705507,0.016419923,0.017268,0.016266244,0.016998436,0.02778935,0.029373476,0.026493585,0.027587239,0.02795347,0.027578529,0.02822652,0.02845522,0.027261851,0.027451297,0.029993365,0.027236097
pubmed_19160209,2009.0,systematic review,0.03419304,0.035724886,0.035575695,0.032206,0.032969832,0.03268832,0.033167318,0.030933198,0.035078607,0.033863105,0.015946034,0.015533724,0.015929088,0.016175972,0.016136592,0.016507491,0.016770355,0.016368622,0.016081398,0.017337313,0.01719362,0.016912764,0.015969137,0.016324952,0.016105456,0.016741522,0.016421637,0.017342461,0.01626351,0.01703835,0.027640676,0.02937111,0.026353702,0.027463274,0.02780655,0.027481638,0.028100839,0.028423168,0.02719196,0.027559606,0.03008396,0.027023504
pubmed_40170347,2025.0,scoping or mapping review,0.033193514,0.032618996,0.034575373,0.031570595,0.03283547,0.031576727,0.03230448,0.032278355,0.032626487,0.033719994,0.017162193,0.016862253,0.017326608,0.016847197,0.016342146,0.017077459,0.017863799,0.01769256,0.017042994,0.018496742,0.01860867,0.017052978,0.016578509,0.017059088,0.017173264,0.017619109,0.017565912,0.018294213,0.017831545,0.017902732,0.026915018,0.026248079,0.026352353,0.025865499,0.028863372,0.027859394,0.027289247,0.027477251,0.028362064,0.02594338,0.025297869,0.027826454
pubmed_28371175,2017.0,narrative or expert review,0.034825467,0.037315525,0.036813498,0.033509217,0.03417517,0.033157755,0.03292426,0.03249526,0.03684817,0.03563569,0.01613543,0.016715227,0.016446617,0.016444905,0.016341938,0.01692539,0.017373106,0.016944682,0.016350118,0.017922224,0.017721333,0.016478136,0.016815605,0.016257085,0.016087307,0.016965808,0.017280499,0.017499909,0.016910184,0.0172845,0.025452642,0.026785377,0.025737764,0.025431367,0.026672194,0.027145931,0.027204351,0.026583917,0.02623819,0.026006447,0.025427654,0.026814176
pubmed_35434749,2022.0,narrative or expert review,0.037289582,0.03519576,0.03655734,0.03326094,0.037535142,0.03524008,0.035168894,0.038248587,0.0334456,0.035758056,0.015972856,0.016459215,0.016253892,0.01632844,0.015431201,0.016065354,0.0167344,0.01746121,0.016779277,0.017254345,0.0174625,0.0164528,0.016437719,0.016923374,0.016707886,0.016398873,0.016978813,0.016883474,0.017484456,0.016329914,0.025511619,0.024892896,0.025247682,0.024851868,0.02698174,0.026062924,0.025841989,0.02704579,0.025888437,0.025815047,0.02459844,0.02676158
pubmed_7866373,1994.0,narrative or expert review,0.032876853,0.033929452,0.0337371,0.030944128,0.03241571,0.03233806,0.03284368,0.03212372,0.03428829,0.033302967,0.016765654,0.016645132,0.0169637,0.01663167,0.015807908,0.016552046,0.017133832,0.016702643,0.01775314,0.017171178,0.016946964,0.016386447,0.016912935,0.016548326,0.01715395,0.016839137,0.016555943,0.017519996,0.016783234,0.017526146,0.02723322,0.027887195,0.027448945,0.028174054,0.02881183,0.027780706,0.027364545,0.028743638,0.027742868,0.027635753,0.02625634,0.028820919
pubmed_21373784,2011.0,narrative or expert review,0.03311573,0.03547248,0.032106448,0.033242516,0.03299261,0.03359084,0.03131437,0.030177686,0.03537183,0.034215514,0.015677726,0.0157951,0.01685843,0.016834129,0.015844254,0.016593589,0.01625532,0.01652047,0.016203897,0.016380556,0.016305929,0.016792737,0.016336173,0.01658847,0.016809136,0.016420368,0.016795347,0.017239777,0.016449342,0.017399268,0.02777822,0.028137645,0.028422201,0.028819365,0.029360006,0.02779996,0.028142815,0.028178714,0.028142821,0.028889263,0.026447,0.028281981
pubmed_38063895,2024.0,narrative or expert review,0.036394767,0.034861915,0.034808185,0.03323571,0.035499573,0.03324862,0.03406918,0.034696713,0.033667,0.03531833,0.016572053,0.016751308,0.016903078,0.016690211,0.015530221,0.01656103,0.017107038,0.01752518,0.01642691,0.017990502,0.017205553,0.017037423,0.016599618,0.016943464,0.016677229,0.01749394,0.016378699,0.017311899,0.016955562,0.017439073,0.025865825,0.026510863,0.025905903,0.025557661,0.027053058,0.026570637,0.026498327,0.027262224,0.025871346,0.026677672,0.025554486,0.02687199
pubmed_29460009,2018.0,systematic review,0.0347195,0.035521943,0.035980675,0.032226935,0.034517962,0.03273369,0.033736944,0.033809166,0.034465723,0.03498747,0.015509589,0.015455295,0.015273108,0.015789205,0.015484153,0.016469436,0.016272264,0.016488392,0.015863255,0.017140744,0.017224425,0.016124573,0.015231678,0.015624596,0.015360528,0.0164312,0.01629234,0.017393705,0.015697759,0.016273761,0.02724948,0.026802557,0.027253784,0.02817887,0.029810777,0.02853423,0.027665222,0.02891493,0.029134894,0.02699035,0.027068626,0.028296286
pubmed_20425201,2010.0,narrative or expert review,0.037616104,0.034498643,0.03561728,0.032013718,0.036451418,0.03401498,0.040597282,0.036445897,0.0324571,0.034087587,0.016962701,0.017141428,0.016782911,0.016590461,0.015772616,0.016706089,0.017156055,0.018259713,0.018004382,0.018116111,0.01782143,0.017071841,0.01746142,0.016877094,0.01710642,0.018350579,0.0172233,0.016579,0.018003482,0.016812962,0.0248768,0.024622547,0.024369605,0.024480296,0.025279123,0.026090916,0.025261339,0.026263196,0.025020432,0.024969894,0.023772303,0.026393546
