record_id,year,review_type,cosine_biological,cosine_psychological,cosine_social,loading_biological,loading_psychological,loading_social,dominant_domain
pubmed_10908542,2000.0,systematic review,0.4438,0.4221,0.4424,0.3359,0.3287,0.3354,biological
pubmed_19160209,2009.0,systematic review,0.4363,0.4144,0.4306,0.3364,0.3291,0.3345,biological
pubmed_40170347,2025.0,scoping or mapping review,0.4723,0.5347,0.4628,0.3273,0.3484,0.3242,psychological
pubmed_28371175,2017.0,narrative or expert review,0.5481,0.5165,0.4507,0.3477,0.3369,0.3154,biological
pubmed_35434749,2022.0,narrative or expert review,0.5587,0.4863,0.4136,0.3578,0.3328,0.3094,biological
pubmed_7866373,1994.0,narrative or expert review,0.5408,0.5661,0.5562,0.3288,0.3372,0.3339,psychological
pubmed_21373784,2011.0,narrative or expert review,0.4294,0.4249,0.4497,0.3316,0.3301,0.3384,social
pubmed_38063895,2024.0,narrative or expert review,0.544,0.5213,0.4544,0.3458,0.3381,0.3162,biological
pubmed_29460009,2018.0,systematic review,0.46,0.3955,0.4397,0.3428,0.3214,0.3359,biological
pubmed_20425201,2010.0,narrative or expert review,0.6088,0.5831,0.4486,0.3538,0.3448,0.3014,biological
pubmed_22102156,2012.0,narrative or expert review,0.4642,0.4489,0.3412,0.3485,0.3433,0.3082,biological
pubmed_36527589,2023.0,narrative or expert review,0.5662,0.5758,0.5414,0.335,0.3382,0.3268,psychological
pubmed_28752491,2017.0,systematic review,0.5504,0.6033,0.5074,0.332,0.35,0.318,psychological
pubmed_33563380,2021.0,narrative or expert review,0.5526,0.4605,0.4095,0.3599,0.3282,0.3119,biological
pubmed_17350550,2007.0,narrative or expert review,0.614,0.587,0.4941,0.3496,0.3403,0.3101,biological
pubmed_23218435,2012.0,narrative or expert review,0.4606,0.4201,0.5154,0.3315,0.3183,0.3502,social
pubmed_26096090,2014.0,narrative or expert review,0.6101,0.6331,0.5074,0.3418,0.3497,0.3084,psychological
pubmed_41271285,2026.0,narrative or expert review,0.5089,0.5571,0.4798,0.3311,0.3474,0.3216,psychological
pubmed_30594766,2019.0,narrative or expert review,0.5462,0.5035,0.444,0.3495,0.3349,0.3156,biological
pubmed_29729787,2018.0,narrative or expert review,0.5123,0.479,0.4606,0.3428,0.3316,0.3255,biological
WOS:000453643300005,,scoping or mapping review,0.4588,0.4578,0.4794,0.3311,0.3308,0.338,social
pubmed_27344405,2016.0,narrative or expert review,0.6485,0.6607,0.5465,0.343,0.3472,0.3098,psychological
pubmed_26614718,2016.0,narrative or expert review,0.623,0.6473,0.5612,0.3373,0.3456,0.3171,psychological
pubmed_26614715,2016.0,narrative or expert review,0.6831,0.678,0.5488,0.3485,0.3467,0.3047,biological
pubmed_19289225,2009.0,systematic review,0.4748,0.4709,0.3246,0.3501,0.3487,0.3012,biological
pubmed_40675665,2025.0,systematic review,0.6729,0.5527,0.4614,0.3709,0.3289,0.3002,biological
pubmed_27325001,2016.0,systematic review,0.532,0.5702,0.4249,0.3404,0.3537,0.3059,psychological
pubmed_27246519,2016.0,systematic review,0.5742,0.5759,0.4821,0.3432,0.3438,0.313,psychological
pubmed_24602442,2014.0,systematic review,0.5451,0.5738,0.5054,0.3344,0.3442,0.3214,psychological
pubmed_28947182,2018.0,systematic review,0.5811,0.5904,0.5002,0.3411,0.3443,0.3146,psychological
pubmed_22814445,2012.0,systematic review,0.552,0.4972,0.4079,0.3556,0.3366,0.3078,biological
pubmed_1477890,1992.0,narrative or expert review,0.5071,0.4744,0.4696,0.3412,0.3302,0.3286,biological
pubmed_12948346,2003.0,narrative or expert review,0.5777,0.6139,0.507,0.3368,0.3493,0.3139,psychological
pubmed_17592957,2007.0,narrative or expert review,0.6604,0.6451,0.5316,0.3492,0.3439,0.307,biological
pubmed_18235536,2008.0,narrative or expert review,0.6165,0.6641,0.5188,0.3383,0.3548,0.3068,psychological
pubmed_24113949,2013.0,narrative or expert review,0.4465,0.4326,0.3927,0.3409,0.3361,0.323,biological
pubmed_11092802,2000.0,narrative or expert review,0.5003,0.4741,0.4377,0.3432,0.3344,0.3224,biological
pubmed_37575343,2023.0,systematic review,0.4846,0.4945,0.4053,0.3409,0.3443,0.3149,psychological
pubmed_32988440,2020.0,narrative or expert review,0.4485,0.4426,0.4401,0.3349,0.333,0.3321,biological
pubmed_27351769,2016.0,narrative or expert review,0.6092,0.6065,0.4976,0.3458,0.3449,0.3093,biological
pubmed_35645164,2023.0,narrative or expert review,0.4948,0.4792,0.4312,0.3421,0.3368,0.321,biological
pubmed_11762878,2001.0,narrative or expert review,0.5539,0.58,0.5449,0.3314,0.3402,0.3284,psychological
pubmed_33682560,2021.0,systematic review,0.4627,0.4804,0.3534,0.3431,0.3493,0.3076,psychological
pubmed_36706441,2023.0,narrative or expert review,0.5154,0.574,0.455,0.3331,0.3532,0.3136,psychological
pubmed_16968689,2006.0,narrative or expert review,0.4209,0.3883,0.4459,0.3341,0.3234,0.3426,social
pubmed_40418249,2025.0,systematic review,0.3623,0.3577,0.38,0.3319,0.3303,0.3378,social
pubmed_10870733,2000.0,narrative or expert review,0.6134,0.6246,0.5353,0.3406,0.3444,0.315,psychological
pubmed_2181358,1990.0,narrative or expert review,0.3562,0.3683,0.2764,0.3407,0.3448,0.3145,psychological
pubmed_30520741,2019.0,narrative or expert review,0.4878,0.4943,0.4043,0.3417,0.344,0.3143,psychological
pubmed_26889614,2016.0,systematic review,0.5001,0.5225,0.501,0.3307,0.3382,0.331,psychological
pubmed_29494401,2018.0,narrative or expert review,0.6617,0.5909,0.4599,0.3638,0.3389,0.2973,biological
pubmed_35467583,2022.0,narrative or expert review,0.5265,0.5178,0.4105,0.347,0.344,0.309,biological
pubmed_27023418,2016.0,meta-analysis,0.4547,0.4331,0.3611,0.3461,0.3387,0.3152,biological
pubmed_27902569,2017.0,narrative or expert review,0.5757,0.5988,0.5001,0.3389,0.3468,0.3142,psychological
pubmed_31977935,2020.0,systematic review,0.4961,0.5165,0.46,0.335,0.3419,0.3231,psychological
pubmed_40101218,2025.0,systematic review,0.5455,0.5805,0.514,0.3328,0.3447,0.3225,psychological
pubmed_32871946,2020.0,meta-analysis,0.4341,0.4647,0.3611,0.3377,0.3483,0.314,psychological
